id_pagos,amount,created
bjCfBbk1Yihsr2TZGYkW,520,2024-10-31T12:09:05.309Z
PF8SiMI1DH3c8Hck8BaF,200,2024-10-31T12:05:17.092Z
GGVOhIUlgji05NFXd02A,11200,2024-10-31T12:03:29.668Z
NIW98CW00w0R8TC3puRn,4329,2024-10-31T11:53:43.737Z
LWXBE6ayje11AqznlRaz,1900,2024-10-31T11:52:10.771Z
H5U9mR7jvwHxtZTGPIzl,1250,2024-10-31T11:47:58.436Z
Ojc1PYAbE1oeKrvrTzSi,200,2024-10-31T11:44:44.752Z
ZfKKOBtlMlqDYkt3uIma,29900,2024-10-31T11:42:35.269Z
FjJwABjIi7Fy8ylURoDN,520,2024-10-31T11:31:57.581Z
g2BBtjHkpy202eyQfox1,3696,2024-10-31T11:30:33.192Z
e2NJ7Z2GOYPw0rqSePU0,2840,2024-10-31T11:29:38.775Z
S5EYAuZSoBP4qIStL2gy,7070,2024-10-31T11:27:36.319Z
dSbIXMgiEm9WsypAjfsd,150,2024-10-31T11:24:46.879Z
rcdos6AT3WAwZTuCZDx6,5750,2024-10-31T11:20:57.799Z
4wNxZqmJ6FypCL7N1wRH,350,2024-10-31T11:19:32.002Z
Ut2Lc85I53mi8d6Jn9OJ,2500,2024-10-31T11:13:38.572Z
cR3afRLM1DFCEx1QIYEt,7400.16,2024-10-31T11:12:01.531Z
8kIpot0AIt5Io7Juj64O,500,2024-10-31T11:10:30.912Z
FYaQ4qmiwHogi7d5Jtg8,910,2024-10-31T11:08:18.082Z
RnGn8fE5Db4vciykfRwE,150,2024-10-31T11:07:17.996Z
uDWjrE8TPi0JZSfk5WBK,10995,2024-10-31T11:04:34.339Z
74CdjeelRxwj0g6WQDsf,2877,2024-10-31T11:02:55.848Z
CLHl6d5aYmKVhVoXfZdq,200,2024-10-31T11:00:09.870Z
Ckb5kmSFe4htntXOyNcy,5544,2024-10-31T10:58:10.753Z
fW6aALcjVfHUy1fsGx59,2240,2024-10-31T10:56:13.459Z
uRSh1I0wfcxroSo4hWxS,5340,2024-10-31T10:52:55.355Z
jKL67zOuMDRNfv5CynLB,6280,2024-10-31T10:51:33.344Z
NkyQqTqcQ1rTOLxsypEj,3116,2024-10-31T10:43:08.950Z
oPKN69IHLIqHjqz9hwgG,11562,2024-10-31T10:41:39.395Z
N0ETKf1b7YD5PavJSPiW,2470,2024-10-31T10:35:49.286Z
1M7BpFVRcWcPKzzgiCf3,1187.5,2024-10-30T23:57:28.772Z
jI94GdW0UPRqoppcrLJt,8731.6875,2024-10-30T23:54:05.292Z
E68Rg1paRR9jA1ovVGnI,3300,2024-10-30T23:52:11.945Z
wKVZlf3Vh5YImiTOo09P,3840,2024-10-30T23:48:31.560Z
eelTAVsP61C8yn9yQ8or,912,2024-10-30T23:47:13.522Z
KAKkXMtmtBwdT7tavk7x,7938,2024-10-30T23:40:09.195Z
3RuHSWiVPGJltuItogwW,200,2024-10-30T23:39:17.313Z
mbjXyr7JOxHNNF4MY0Cg,29070,2024-10-30T23:37:02.086Z
mP4Xmf7plEzRJj23iWaU,2160,2024-10-30T23:35:33.156Z
6IXEbhn4z8etoH1BsT3N,1100,2024-10-30T23:33:14.029Z
jNc0tOMHSlq1rb105jAh,3400,2024-10-30T23:25:37.418Z
3bUYARqVvgaaAIYTQOe3,37095,2024-10-30T23:24:58.887Z
Hs2BsOv5B0Zo5dNcxwnx,5981,2024-10-30T23:24:51.983Z
KD8elXj4CjGDr5Uu0OV2,1344.48,2024-10-30T23:21:57.014Z
YgdWk9RKPkNXLy9MfzEb,3909,2024-10-30T23:20:20.851Z
ytSknGlhSCp4IFzp5kyS,5822.05,2024-10-30T23:17:39.603Z
IebOVHIShROcA6Nzqdrb,1620,2024-10-30T23:13:17.450Z
Hhv43MYbU5dibR1iuHtz,8570,2024-10-30T23:10:32.689Z
fJYyguyd4rhToduSHeRB,9250,2024-10-30T23:03:57.937Z
U1SDyMiiSUDwJJqD2nIH,880,2024-10-30T23:00:40.055Z
uVVK0Fnhf8rd3RKv2kkI,1800,2024-10-30T22:58:55.493Z
cYdZE2bJ39oES6otvbAD,400,2024-10-30T22:52:52.528Z
KWeIfZfof5xAzUqyqeuG,7650,2024-10-30T22:52:34.897Z
pZfA12yuKpP9UyhuZwrP,1560,2024-10-30T22:48:42.979Z
BIrg5uihOm77eOq5P5si,1100,2024-10-30T22:48:06.143Z
Yy5zgq7WNfckImOT98Hc,11293.6,2024-10-30T22:46:07.068Z
rG37sm6UMI2aqogcyepL,5590,2024-10-30T22:38:54.559Z
zhl5lG9PAjy1i2UmEVsX,2870,2024-10-30T22:37:38.510Z
CheG0jMJ5s7Mg3OExcUS,1350,2024-10-30T22:36:28.440Z
AWThHxRhMTrW1rTahEFi,3960,2024-10-30T22:33:00.502Z
9HsYN8SDROV3VWOl00j1,2670,2024-10-30T22:29:03.606Z
LdkxQUaclspyeoxLTAzx,1500,2024-10-30T22:28:28.093Z
Cp2gKeO7v8rG2461BnFy,2000,2024-10-30T22:25:36.773Z
RSmmeeKcqYGEI6eUVS3w,4000,2024-10-30T22:22:46.134Z
Q4k4MoaCwR9EjCoY1rIA,1950,2024-10-30T22:19:15.594Z
WvU105zUrTJzFlWOSH6z,3572,2024-10-30T22:18:52.828Z
Ax6OvMN2bBAC3dRlNakH,6650,2024-10-30T22:16:40.825Z
HJ6Er1njWAzmER4PI0ys,7940,2024-10-30T22:14:18.101Z
RUf8rhJMefPl7Poo2VqF,25098,2024-10-30T22:14:06.886Z
