pagos,products,total
"[{""__ref__"":""pagos/LYNlJ8ilA7Bf1Z8u029O""}]","[{""__ref__"":""productosSeleccionados/fOd9dHamFHPlhgKURlTE""}]",4900
"[{""__ref__"":""pagos/9ChOjdG3EAaYCDnxPnsk""}]","[{""__ref__"":""productosSeleccionados/FOftngRl4K6bdWmJVcwk""}]",7280
"[{""__ref__"":""pagos/xX7M9s7OpmJhTM6pwNUq""}]","[{""__ref__"":""productosSeleccionados/FOJeWKHaKnT62zrdndZA""}]",240
"[{""__ref__"":""pagos/cR3afRLM1DFCEx1QIYEt""}]","[{""__ref__"":""productosSeleccionados/FomAMDqZ3rXb4gpmAgjj""}]",7400.16
"[{""__ref__"":""pagos/clSkTQCYuRgEJaaCGHb1""},{""__ref__"":""pagos/cshSEtwTUEeVUi6G5P20""}]","[{""__ref__"":""productosSeleccionados/FooXW91EDM3M8H9xLzjT""}]",3575
"[{""__ref__"":""pagos/fdXKPo9yuV7y8gzAVpyJ""}]","[{""__ref__"":""productosSeleccionados/fP1YOHocGzqwpnPtCkXx""},{""__ref__"":""productosSeleccionados/XdnAeiufgUi6eWaR0qob""}]",20870.08
"[{""__ref__"":""pagos/gfe6njZkBH3QrLlo49sE""}]","[{""__ref__"":""productosSeleccionados/fp7d5n96aV9AiKbjRXMi""},{""__ref__"":""productosSeleccionados/4ExipdJymYtNrbastcGQ""}]",10974.6
"[{""__ref__"":""pagos/dTXxkBy14bXlk20XykkR""}]","[{""__ref__"":""productosSeleccionados/Fpcs1aK69fdl77Fq6TgB""},{""__ref__"":""productosSeleccionados/fyDwiM9ccxREvwX8BgAx""}]",6146.5
"[{""__ref__"":""pagos/cVe4Q539YdvlLhL7OQ3g""}]","[{""__ref__"":""productosSeleccionados/fPJq8TF9TkryH5mGumrw""}]",520
"[{""__ref__"":""pagos/2ViSuWdMd7HClkiZcZtZ""}]","[{""__ref__"":""productosSeleccionados/fPlCq2s0ua77iLHagnnN""},{""__ref__"":""productosSeleccionados/WE9S6pyLVGy9AvwsIHZ0""},{""__ref__"":""productosSeleccionados/gAfjzjrUUZX4ZVRY7jqW""},{""__ref__"":""productosSeleccionados/fpZ7txHc24ey530xNkyf""}]",24000
"[{""__ref__"":""pagos/3a9eNcDAGPQPV7dCdBjT""},{""__ref__"":""pagos/AbX7ckxTMPe1frH5Prgw""}]","[{""__ref__"":""productosSeleccionados/fpLF0cQyf1vZbiLPX5r0""},{""__ref__"":""productosSeleccionados/FMFxIaoIBmknXIQ9OULF""},{""__ref__"":""productosSeleccionados/KGiCjW0FmglXHBWb6Gi6""}]",540050
"[{""__ref__"":""pagos/wJRRYCYj4OKU8E102PWP""}]","[{""__ref__"":""productosSeleccionados/fPmIjvFUbFuQWLx9tU1j""}]",1733.7975
"[{""__ref__"":""pagos/eySiHAGO76Om181EirFW""}]","[{""__ref__"":""productosSeleccionados/FpohlokmDv4D5XdHiCPh""},{""__ref__"":""productosSeleccionados/Ak7NN51MSVTtGIRlXut3""},{""__ref__"":""productosSeleccionados/qOTzAbEo4v3bC6CJddOI""}]",347
"[{""__ref__"":""pagos/6rwQXHTKSDLvNl1GA4hk""}]","[{""__ref__"":""productosSeleccionados/fPP7mUE6GdFi0aj7ywap""}]",400
"[{""__ref__"":""pagos/fDFkjMBFWob7Sdn9PDSl""}]","[{""__ref__"":""productosSeleccionados/FPS5k0nzzikSqmWe7tEN""},{""__ref__"":""productosSeleccionados/UI4VK5WnX8XGQI9oeLtd""}]",5724
"[{""__ref__"":""pagos/Jp123dG7n9xZTKhTU1TU""}]","[{""__ref__"":""productosSeleccionados/FPTnhUZMxjGtM3JA4xeE""}]",200
"[{""__ref__"":""pagos/ID6gHPGSAqlo1lpLHR9U""}]","[{""__ref__"":""productosSeleccionados/fQ2LgyT2wJAhTrMsAD4G""}]",4752
"[{""__ref__"":""pagos/OO4uICUaX4dT1z3n9PYs""}]","[{""__ref__"":""productosSeleccionados/FQc93r4uAHtHAKujzYDm""}]",2982
"[{""__ref__"":""pagos/cuJbGn4ey8G6mfcBJG2z""}]","[{""__ref__"":""productosSeleccionados/FQgWboQlaA7eblFCverb""}]",640
"[{""__ref__"":""pagos/ITdP33BwdKJyxhQIqfst""}]","[{""__ref__"":""productosSeleccionados/fqiFGT0gPaJszEpsITLE""}]",150
"[{""__ref__"":""pagos/JmLbv1WS05gN2YVR6hqP""}]","[{""__ref__"":""productosSeleccionados/FqljrzA17YFb1Lz34vIV""}]",16500
"[{""__ref__"":""pagos/qvTAlvDKUsWff3eXewNM""}]","[{""__ref__"":""productosSeleccionados/fqPbObUOjCe7Rc0XsziC""},{""__ref__"":""productosSeleccionados/AyY0znBzKSKeHqHJZsMF""},{""__ref__"":""productosSeleccionados/UMJ2otYRhMIvO2mEr9o9""}]",3900
"[{""__ref__"":""pagos/itowqFMEWcBGxFg6wj0J""},{""__ref__"":""pagos/ZzQVJXf7bgOu0tRkDUwR""}]","[{""__ref__"":""productosSeleccionados/fqsMGKDm3UrAaEwJVnpA""},{""__ref__"":""productosSeleccionados/l9TLsjWAs32nReSzQ26m""},{""__ref__"":""productosSeleccionados/PWVRbraSjdYhqxDE8yey""}]",8730.9
"[{""__ref__"":""pagos/8Olwfe6OxYauNVRKYcov""}]","[{""__ref__"":""productosSeleccionados/Fqu3yD4BJmOrR9Xkwpyc""}]",6050
"[{""__ref__"":""pagos/rxPXxNUDzYq58fKS1LrY""}]","[{""__ref__"":""productosSeleccionados/FquQMGqeQsirdAKYn7Bs""}]",3025
"[{""__ref__"":""pagos/0PBJUhiWxAmgUvMXD5Hm""}]","[{""__ref__"":""productosSeleccionados/FQVoXQ7YFUVzl3F8dfsk""},{""__ref__"":""productosSeleccionados/DieK6c8fzlyujz7YTkWD""}]",2240
"[{""__ref__"":""pagos/H8TbPMKGmyv7PEhp8hmf""}]","[{""__ref__"":""productosSeleccionados/fQzYRLjmdscjMAz90P6x""}]",50
"[{""__ref__"":""pagos/ESGBFoOxfcFgx0sdqdHR""}]","[{""__ref__"":""productosSeleccionados/fQzZJ0JTB3iLUQr4rNPs""},{""__ref__"":""productosSeleccionados/VbKh9UK0JWlARNUY15Dy""},{""__ref__"":""productosSeleccionados/rasHT5jnovSFWDlYTZ6i""}]",2300
"[{""__ref__"":""pagos/NnlvkvAbtyerfMgZzTIE""}]","[{""__ref__"":""productosSeleccionados/FR1J6xSR2iIW6u6IZP31""},{""__ref__"":""productosSeleccionados/S8OY3r1RzqE3x6cSVmsE""}]",14527.26
"[{""__ref__"":""pagos/ERneNTuNznZo4lfXwxYD""}]","[{""__ref__"":""productosSeleccionados/fr5UxM8EPdKUFCOeUYPk""},{""__ref__"":""productosSeleccionados/olLY0InYHd3wfvtt2itR""},{""__ref__"":""productosSeleccionados/CzarhOSyLQNqqT8giuCi""},{""__ref__"":""productosSeleccionados/IU9nmsY4aLk2KfVtVjKH""},{""__ref__"":""productosSeleccionados/MMvIcjwNjKx0OVv20HYN""}]",2223.69
"[{""__ref__"":""pagos/t885wFzRVACVfGJ4jqKH""},{""__ref__"":""pagos/tXUfbgssC8j9KC3TOivS""}]","[{""__ref__"":""productosSeleccionados/fr8vruADH5YvBVSG6CsU""},{""__ref__"":""productosSeleccionados/gTjXMY0j5DpCjIB3gb2m""}]",12295
"[{""__ref__"":""pagos/kMGiIdRLpxqfwpnG6gGv""}]","[{""__ref__"":""productosSeleccionados/FRcjnofv7ucfX5QSIzhy""}]",1672
"[{""__ref__"":""pagos/ueadncZ3WLt3hNyx89ts""}]","[{""__ref__"":""productosSeleccionados/fRd6bMD8740RwEPAGUfW""}]",360
"[{""__ref__"":""pagos/AHMf5A7HpVFvGOucMXSN""}]","[{""__ref__"":""productosSeleccionados/FRf6fL3KOgDztYJa4vne""}]",2940
"[{""__ref__"":""pagos/JenkkMEUIenLnpxtHsO8""}]","[{""__ref__"":""productosSeleccionados/FrKFLCHojjVXvYtDFErF""}]",6650
"[{""__ref__"":""pagos/fpLHSZ9oN27QGqcJfRIk""}]","[{""__ref__"":""productosSeleccionados/frrMnw04yaBmdcSNtZBF""},{""__ref__"":""productosSeleccionados/koTHcOeejo3xbUZFM4GT""}]",1387
"[{""__ref__"":""pagos/ozDO0PzT6tKfTs1NcL2X""}]","[{""__ref__"":""productosSeleccionados/FRw6yVIXBjOcIxq0vSYX""}]",1200
"[{""__ref__"":""pagos/DAkFHYyLVSXyZrWfPE7q""}]","[{""__ref__"":""productosSeleccionados/fRwLyc1AwUC0JNF4fFhv""}]",2343.1275
"[{""__ref__"":""pagos/nOoKDqJSAFVaIUbq7Qh6""}]","[{""__ref__"":""productosSeleccionados/Fs8Q6J7VZcIKYHnileU0""}]",760
"[{""__ref__"":""pagos/hnojboq3Ein9UcNVHNHS""}]","[{""__ref__"":""productosSeleccionados/fSArEAd2dg8U0beycXil""}]",2037
"[{""__ref__"":""pagos/ZEvUHN7N5FkGIibkGUs2""}]","[{""__ref__"":""productosSeleccionados/Fsc384yDj51kUg4M6BW8""}]",49
"[{""__ref__"":""pagos/BUnYWiB3G3aGcp1GouiT""}]","[{""__ref__"":""productosSeleccionados/fSDggMWJ7NhYqzTbVsWs""}]",2040
"[{""__ref__"":""pagos/ILyXfN9xTqZUouOr55ov""}]","[{""__ref__"":""productosSeleccionados/Fsfc7t7hmE8rKv70aMup""}]",2370
"[{""__ref__"":""pagos/NIKTEAfZXCZhE1oAU0Is""},{""__ref__"":""pagos/emq9InKqHknv7Ye2Ggra""}]","[{""__ref__"":""productosSeleccionados/FsHnYCxk4aHulktXMUhv""},{""__ref__"":""productosSeleccionados/NYLOw2gyGiu6uJ8fmNw0""}]",9038
"[{""__ref__"":""pagos/OPZdHPQwjqrkckRb5Jbe""},{""__ref__"":""pagos/jepIgufcyz3zIT6JCQUn""}]","[{""__ref__"":""productosSeleccionados/Fsrkaf1HOXewi9ceHzQO""},{""__ref__"":""productosSeleccionados/hnKsjzIL2yIO0xNqMFeE""},{""__ref__"":""productosSeleccionados/RTrU08pRfwQMF8YH8BpU""},{""__ref__"":""productosSeleccionados/lV5U21fpHOH9q2Yas0cD""}]",122940
"[{""__ref__"":""pagos/amVuSt8J2b4OVahsoiOe""}]","[{""__ref__"":""productosSeleccionados/fSw05PYJDdv24HIQ2FX7""}]",7623
"[{""__ref__"":""pagos/Er3DvgRiCNwWiNJWtsMS""}]","[{""__ref__"":""productosSeleccionados/FSXeuJWjeRAA9MJISnBA""}]",6617.7
"[{""__ref__"":""pagos/sGIyhwN8m9fRIisZqbw8""},{""__ref__"":""pagos/ne4QD3rdoo3h0CU5Tg4L""}]","[{""__ref__"":""productosSeleccionados/FSz0IDDF7gfvFNLYZeAi""},{""__ref__"":""productosSeleccionados/tZYR2UbHcbUeUneaJEYI""}]",6040
"[{""__ref__"":""pagos/oyPCowK9qHl0j4JXU69s""}]","[{""__ref__"":""productosSeleccionados/Ft5wBYKvtVX5AlYGkiqr""},{""__ref__"":""productosSeleccionados/NUgFGqiUr93AipPXsGMU""},{""__ref__"":""productosSeleccionados/ZdRW3T1pWM17hKAZpdKO""},{""__ref__"":""productosSeleccionados/Xrb3dmZ5sGFuTzarVu8I""}]",28274.4
"[{""__ref__"":""pagos/gaTQhpsZRzoJZIBeuwv8""},{""__ref__"":""pagos/qqIefDtLhQpRlRSf2HZw""}]","[{""__ref__"":""productosSeleccionados/FThNdhs1kG7ivkDo0eAu""}]",8700
"[{""__ref__"":""pagos/5cwe3eIYy9HNP07b4Roo""},{""__ref__"":""pagos/LY69c5lIz5ygXP843z7C""}]","[{""__ref__"":""productosSeleccionados/fTytDwX4c2QN1gARDUMj""},{""__ref__"":""productosSeleccionados/mdbwriSai7dIno3iDuui""}]",22847.5
"[{""__ref__"":""pagos/RJO407TdM373O3RqnJri""}]","[{""__ref__"":""productosSeleccionados/Fu6aReRQvRAcdZuetQMm""}]",870
"[{""__ref__"":""pagos/08cSifHXl62u1vehL9bd""}]","[{""__ref__"":""productosSeleccionados/fUbcZxhC0bKS8xmuxbV6""}]",600
"[{""__ref__"":""pagos/P2GJ7L1TJLeuYd3CpqkZ""}]","[{""__ref__"":""productosSeleccionados/FUHulA1D7KKazBol1qEC""}]",50
"[{""__ref__"":""pagos/j425up2bQW7pLvyY9S5a""}]","[{""__ref__"":""productosSeleccionados/FuiAKmUyIiQwx8ROwVZu""},{""__ref__"":""productosSeleccionados/R1jCHGCe1B4VVXmF3TwI""}]",130
"[{""__ref__"":""pagos/bvu0VCTlJhui9PpLUXWo""}]","[{""__ref__"":""productosSeleccionados/FUKIDDPz41twt5CGmU5b""}]",5623.506
"[{""__ref__"":""pagos/e88VafiLqpeLu45TsbtW""}]","[{""__ref__"":""productosSeleccionados/FULGEg4mJoHTHLbCIeQ7""}]",23000
"[{""__ref__"":""pagos/8nvN8GWvYoAFvWc9cz6y""}]","[{""__ref__"":""productosSeleccionados/fuptUUstp53Dh2EYhQlq""},{""__ref__"":""productosSeleccionados/CL09zjgPHu7A1FO3CyMp""}]",900
"[{""__ref__"":""pagos/fcaOP37QKxfzPX1QbWoC""}]","[{""__ref__"":""productosSeleccionados/fUuDG0Ag7uNR0N6syk35""},{""__ref__"":""productosSeleccionados/6qzFpA90r9tJHSW9Hwkc""},{""__ref__"":""productosSeleccionados/yUmEvot9Yw2zhbhe9wjx""},{""__ref__"":""productosSeleccionados/K0gx2vmLRH5gTsblIwSX""},{""__ref__"":""productosSeleccionados/fKXfwQDpF17NPF9wgTRG""}]",30815.9
"[{""__ref__"":""pagos/ToMDRR9kZ300cRZZuE6b""}]","[{""__ref__"":""productosSeleccionados/fuWFWHf8zNKlwyFomuol""}]",5600
"[{""__ref__"":""pagos/qsede0homoOu3yy4JIu5""}]","[{""__ref__"":""productosSeleccionados/FuyNcQzrIEGIygfNWeah""}]",2841
"[{""__ref__"":""pagos/Z2pL40TmbxCLIa5oOKsk""}]","[{""__ref__"":""productosSeleccionados/fuzMKI0tXlvQsCNAuHKQ""},{""__ref__"":""productosSeleccionados/KiWiESkal9Me79agV3Mi""},{""__ref__"":""productosSeleccionados/pDJGSRb08QfTiyIc7puG""}]",910
"[{""__ref__"":""pagos/iKZz63S37VJbgT7mDAXl""},{""__ref__"":""pagos/sfvPr7nCTiwbKJYc21n9""}]","[{""__ref__"":""productosSeleccionados/fV04VACfFSe7dBmLdnso""},{""__ref__"":""productosSeleccionados/m4X5ORXPevkksaQc8rzz""},{""__ref__"":""productosSeleccionados/E9tzINx7xxu5h6OMSWpK""}]",9072
"[{""__ref__"":""pagos/gNUHYBQulciOmSQVGUmN""},{""__ref__"":""pagos/BBZAp6yAMZKuy8WVzXKm""}]","[{""__ref__"":""productosSeleccionados/Fv0NHUnulVuxR3ZhUEP3""},{""__ref__"":""productosSeleccionados/t13bZ34osYLRl34C40Be""},{""__ref__"":""productosSeleccionados/m9VrYEmLY0ogQR3MYsW9""}]",32020.3147
"[{""__ref__"":""pagos/Phx6KVvT8B4xhvnOhAwy""}]","[{""__ref__"":""productosSeleccionados/fV1DAA24vcrFGumxme3r""},{""__ref__"":""productosSeleccionados/ioL8khkCrxIpubJBQoJd""},{""__ref__"":""productosSeleccionados/BwRp1shLr4HBMXm9oIPa""}]",890
"[{""__ref__"":""pagos/58mFXGkPzSlfCHOjfp2F""}]","[{""__ref__"":""productosSeleccionados/Fv2MdMuAIInrj99Td5bc""}]",32859.36
"[{""__ref__"":""pagos/rx6D59uFsMvCPs6Jompu""}]","[{""__ref__"":""productosSeleccionados/FVdiXgEcpDspf9HUBawz""}]",294
"[{""__ref__"":""pagos/bTibUjCVnX5crWezI3M7""}]","[{""__ref__"":""productosSeleccionados/fVg0JEBmLwvBnylkYPf3""},{""__ref__"":""productosSeleccionados/ZtIyO7IWgkRehHlmQMhy""}]",14550
"[{""__ref__"":""pagos/3j6bm84L1wKxJdqchjJj""}]","[{""__ref__"":""productosSeleccionados/FVHud7kHBCF59Opq2Jnr""}]",7505
"[{""__ref__"":""pagos/WJqW9S0si8d1gbHdATtV""}]","[{""__ref__"":""productosSeleccionados/FvK3FB5CSLAukOiEt9kM""},{""__ref__"":""productosSeleccionados/3RWyUzBXifoX3VXZuUo6""}]",882
"[{""__ref__"":""pagos/L6paqA36GeQTfSioevCT""}]","[{""__ref__"":""productosSeleccionados/FVkKCtam64bzfat0AfTs""},{""__ref__"":""productosSeleccionados/9z5joMtLI9AOkbV8Qrnk""}]",10951.04
"[{""__ref__"":""pagos/aVzLONAO4k2Xo8y2tCYa""}]","[{""__ref__"":""productosSeleccionados/fvpBQTA0U9kOoNPTak3z""}]",3800
"[{""__ref__"":""pagos/0dQm7IyAqeyujIH0ZYls""}]","[{""__ref__"":""productosSeleccionados/FvvAVr54Amsl07rl1rWu""}]",160
"[{""__ref__"":""pagos/c65qKHExZbpfx4tVS5hh""}]","[{""__ref__"":""productosSeleccionados/fVX6sNhmWHAc8LR3VXE0""},{""__ref__"":""productosSeleccionados/5o8yjmLqG9GX6RjDxDKo""}]",1320
"[{""__ref__"":""pagos/DncrhYn37pDZuLnPHm4B""}]","[{""__ref__"":""productosSeleccionados/fVxqK1641Hz8wFEdRnFk""}]",3460
"[{""__ref__"":""pagos/NURl6b7iXtRtionPzpcL""}]","[{""__ref__"":""productosSeleccionados/fw2CF671l7e0NU1xvITf""}]",4473
"[{""__ref__"":""pagos/PMArzIpXlFOUuayDwgPb""}]","[{""__ref__"":""productosSeleccionados/FWHFyft2ALu2YDPDrbtA""}]",106720
"[{""__ref__"":""pagos/mqItxhg29CpIz3Tarbrs""},{""__ref__"":""pagos/JjzMOOBv51n6xvAvCKYq""}]","[{""__ref__"":""productosSeleccionados/FWHnJT3AVEvjPHO3fFTy""}]",11576
"[{""__ref__"":""pagos/OuRR3rRXRtrVpO2aKAbP""}]","[{""__ref__"":""productosSeleccionados/FWrh5PNqdn1XICIIHWjY""}]",36370.785
"[{""__ref__"":""pagos/RSS3mrr99GpNEJh0e3pa""}]","[{""__ref__"":""productosSeleccionados/fx1oC7gTuqoED2ZZIuU7""},{""__ref__"":""productosSeleccionados/kwTccBqPtRkjftBxgmI2""},{""__ref__"":""productosSeleccionados/TMHD9ILjEGmgQ2hy83wM""}]",11160
"[{""__ref__"":""pagos/45gzjalRtD37Hnv3p3PC""}]","[{""__ref__"":""productosSeleccionados/FxcaVBsKFchr5AOnDO5c""}]",640
"[{""__ref__"":""pagos/LIEw32oGCqobhuyT550q""}]","[{""__ref__"":""productosSeleccionados/fxfEpX1PFwwZLktI0Dz3""}]",5481
"[{""__ref__"":""pagos/3UoVPOiyMXVUoPnj9qhY""}]","[{""__ref__"":""productosSeleccionados/FXhbJGnFLsPu4BHnfj8Z""},{""__ref__"":""productosSeleccionados/8LwquGuBYC3VKNnHIhUP""}]",154
"[{""__ref__"":""pagos/50FqaWCFgIxj7JiNkTMF""},{""__ref__"":""pagos/02G3Cb5i0Aihz7qoBdf9""}]","[{""__ref__"":""productosSeleccionados/FXkiYGS0eDCfKVwWnAyq""}]",31000
"[{""__ref__"":""pagos/lBM1Rl5Wp7HE5CaJ8RYp""}]","[{""__ref__"":""productosSeleccionados/fxLeD6t3Z2Jji7GCfOY9""}]",2940
"[{""__ref__"":""pagos/2jmJZpynOzBbsckxJPTX""},{""__ref__"":""pagos/yDrUW0XEnrKLVHv6FkcV""}]","[{""__ref__"":""productosSeleccionados/FXNQqT3kvRhgfrhvZawW""}]",13364
"[{""__ref__"":""pagos/hvj3VwxDYK3qDANdDzmp""}]","[{""__ref__"":""productosSeleccionados/FXo3JgdYelx9F6QiPriw""},{""__ref__"":""productosSeleccionados/YffgVM5YiMsA3EP8cLLj""}]",4930.5
"[{""__ref__"":""pagos/vyktfre0E4xsAlhsA65W""},{""__ref__"":""pagos/lwqlY5RjxpAZ9uO8ioRz""}]","[{""__ref__"":""productosSeleccionados/FXqbZARgPsAsAcKMtVju""}]",12104.19
"[{""__ref__"":""pagos/KjTIoZrY2T9ZaRYYD5gD""}]","[{""__ref__"":""productosSeleccionados/FxTvou1jiGySei5RVFVv""},{""__ref__"":""productosSeleccionados/E1ygvA7paLtcMrjlkFJy""}]",1510
"[{""__ref__"":""pagos/GJ5PJY5QsXdVUDgVVGhH""}]","[{""__ref__"":""productosSeleccionados/FxvGYSzJl5F5Qr8Ia9Fp""},{""__ref__"":""productosSeleccionados/e1PQVizFCjQHlWA9Pagz""}]",180
"[{""__ref__"":""pagos/yTCMhrmRACaEk6yXDpxw""}]","[{""__ref__"":""productosSeleccionados/fXVHtJOxkthXSgLWjRjs""},{""__ref__"":""productosSeleccionados/hFBfVe8gwoPj3DrGkg9I""}]",105619.221
"[{""__ref__"":""pagos/i16EgMcBmqmdG2e6LNhQ""},{""__ref__"":""pagos/4LrKViFpi7XDTO2giMIO""}]","[{""__ref__"":""productosSeleccionados/FXWqMiFLZ5ELexc0k5a5""}]",17356.119
"[{""__ref__"":""pagos/3RuHSWiVPGJltuItogwW""}]","[{""__ref__"":""productosSeleccionados/FxXFn7IA7ScGIGDzwgYf""}]",200
"[{""__ref__"":""pagos/iKA0oYyIAZJxivB6XFjS""}]","[{""__ref__"":""productosSeleccionados/fXxsB28ksbpSdHPjXdrV""}]",13200
"[{""__ref__"":""pagos/1ub0QZCjjlyZ3WJE7dX6""},{""__ref__"":""pagos/0YLDmXe221SaBjCOLSdc""}]","[{""__ref__"":""productosSeleccionados/FxZTJS3m6o8r6dnkc1Bt""}]",5690.88
"[{""__ref__"":""pagos/2nEOdKDbBphvu8SaYoVO""}]","[{""__ref__"":""productosSeleccionados/fY6TnGDDmgwsVpe95lh7""},{""__ref__"":""productosSeleccionados/4a9FvXvwjcdw0qLTVp0r""}]",4840
"[{""__ref__"":""pagos/0ENfUOEdECkJyt0rlyKx""}]","[{""__ref__"":""productosSeleccionados/FY76Nk82AxTyr3z7Z2dr""}]",1700
"[{""__ref__"":""pagos/NppHBY6ceWZfrGBjWKyS""},{""__ref__"":""pagos/nNpZxy2BfjsI9q7P7f1w""}]","[{""__ref__"":""productosSeleccionados/FycVKtnseCEEcFbyE9BL""},{""__ref__"":""productosSeleccionados/IyvpgzWAwYIPPeX6mclr""},{""__ref__"":""productosSeleccionados/Nn1aJVq2u4K2Zh1b66BD""}]",12220
"[{""__ref__"":""pagos/D9sG8JObDfjMr1qdLeHz""}]","[{""__ref__"":""productosSeleccionados/fyeoYt87W1RmMGuKIgyW""},{""__ref__"":""productosSeleccionados/I5gEMvORtN4H8YPtHx7d""}]",1591
"[{""__ref__"":""pagos/xwBUX9XG8evf62iRjPl6""}]","[{""__ref__"":""productosSeleccionados/fYf3sjcAjUieX4cTTgll""}]",400
"[{""__ref__"":""pagos/5yod34pwgSa8wnu5vi9D""}]","[{""__ref__"":""productosSeleccionados/fyk38gen8lzQnclsqZZ1""}]",810
"[{""__ref__"":""pagos/YIc1Hj4WP5nXenAAXMra""}]","[{""__ref__"":""productosSeleccionados/fYkajj1HumxA1TfGBKZU""}]",3382
"[{""__ref__"":""pagos/3Pb3OxHk0LQVlRzuRRvX""},{""__ref__"":""pagos/BWQTJvfle7lmDMpdnBcI""}]","[{""__ref__"":""productosSeleccionados/FylJFJcwE6mq9wUzd8pw""},{""__ref__"":""productosSeleccionados/dUMaJQGL4EgS1sMJHleF""},{""__ref__"":""productosSeleccionados/gCMfNpSuyz9KJ08QAI15""}]",18668.92
"[{""__ref__"":""pagos/fBHm5xp8ksqqcldzUYs1""}]","[{""__ref__"":""productosSeleccionados/FYm3WISv78Zh0zi737dT""}]",2070
"[{""__ref__"":""pagos/YAAsJyQLc2XD8DOF0sCo""},{""__ref__"":""pagos/bSCoSPItzsVMKAZhvbUq""}]","[{""__ref__"":""productosSeleccionados/fYNXT44F271TbEjmuLXw""},{""__ref__"":""productosSeleccionados/dgtJXyNhs1UJnvM9Uxqk""}]",8217
"[{""__ref__"":""pagos/W0Vj36Wc0i7rH0bN8DfL""}]","[{""__ref__"":""productosSeleccionados/fyOAT5L2igPSMA0MwDyU""},{""__ref__"":""productosSeleccionados/AVCgHMfUunCeWfWFE4J0""}]",22070.93
"[{""__ref__"":""pagos/I4PIiiSstVK2pMGMg2Ky""}]","[{""__ref__"":""productosSeleccionados/fypgN4kqaEDNqXGQWYBv""}]",6680.4
"[{""__ref__"":""pagos/QDZqsaJ8yzdbbMsuWFmb""},{""__ref__"":""pagos/9nIFGZFG6pSz1A8iTpIh""}]","[{""__ref__"":""productosSeleccionados/fypl9vOea5pcvyafJOZE""},{""__ref__"":""productosSeleccionados/SHwQzFd4rRLirvyqLABR""},{""__ref__"":""productosSeleccionados/4HkeLxUlS5Lo38i4tMWI""}]",7856
"[{""__ref__"":""pagos/sEMj5Fn0AenOWEiz4Rhe""}]","[{""__ref__"":""productosSeleccionados/FYq1Irh3SMFfAdLGv4SB""}]",4420.4
"[{""__ref__"":""pagos/2SHR6nw5cqWx1LcsQVxx""}]","[{""__ref__"":""productosSeleccionados/fyqAW5MNQ60k76EBLwGd""}]",4320
"[{""__ref__"":""pagos/lXWeQG0Fpqhh2flgGo2f""}]","[{""__ref__"":""productosSeleccionados/fytDmNOovNNcQngnEcyd""}]",910
"[{""__ref__"":""pagos/8TOZOzs6E5BGSC1qPJ6j""},{""__ref__"":""pagos/ySH2zUngZ4OkY9L8VLPD""}]","[{""__ref__"":""productosSeleccionados/Fz1gAhdJs5yTL8jjI704""},{""__ref__"":""productosSeleccionados/5pGbHqdDviltpuiptpvq""}]",8600
"[{""__ref__"":""pagos/d8b3cAnqH2jFSutfd74L""}]","[{""__ref__"":""productosSeleccionados/fz1nSGOTp4BP38Bsbgh2""}]",1300
"[{""__ref__"":""pagos/XVHIFS4WJfmXVsiDV1qS""}]","[{""__ref__"":""productosSeleccionados/fZFb3gsebFRCQnk36K4M""},{""__ref__"":""productosSeleccionados/ueSO8okfqhuoQX0hdXx3""}]",44100
"[{""__ref__"":""pagos/qIQadqYMxskZILvalTFs""}]","[{""__ref__"":""productosSeleccionados/fZfwd9mkFYbhOYGtq1QB""}]",9396
"[{""__ref__"":""pagos/BEc8qHZ7fknkBfS0XLhr""}]","[{""__ref__"":""productosSeleccionados/fzIpqrzfjvROzRL1O0tZ""}]",4493.5
"[{""__ref__"":""pagos/SOFGjTweRzOFxgEefYpO""}]","[{""__ref__"":""productosSeleccionados/FzNqbpoWw28XY7v7mHuT""}]",98
"[{""__ref__"":""pagos/MpVXLRrx6HMZNUoHtWUf""}]","[{""__ref__"":""productosSeleccionados/FzQpU6836Tw1AzTDHdiS""},{""__ref__"":""productosSeleccionados/o8DNgVnmsMvkUt3csDjS""},{""__ref__"":""productosSeleccionados/8JR4qFGYVW5CFhNd1OLO""}]",35280
"[{""__ref__"":""pagos/22bk6378YlrUO6LDIU2H""},{""__ref__"":""pagos/zrYSpc52b5tJpVPTsCZ1""}]","[{""__ref__"":""productosSeleccionados/FZUcOSWUMa7E32TXiMjH""}]",7900
"[{""__ref__"":""pagos/94ETHIUKnlkWoT2AKPtc""},{""__ref__"":""pagos/70lUyb9B5kGvWbUxIvby""}]","[{""__ref__"":""productosSeleccionados/FZwOvI4RDUcW4hSitmf3""}]",22880
"[{""__ref__"":""pagos/8XtkIF3WB34cA2pk04gB""}]","[{""__ref__"":""productosSeleccionados/fZyxxw4kxBMxQCbIP8mJ""}]",8690
"[{""__ref__"":""pagos/lHRCxb3THQiveeXfPAtK""}]","[{""__ref__"":""productosSeleccionados/fzyYZ3qX4lHBSEE7nOg1""},{""__ref__"":""productosSeleccionados/e1IW17ZnZdVtcPjWYa89""}]",7130
"[{""__ref__"":""pagos/u5hyG2TGpyXiiqGaQBEW""}]","[{""__ref__"":""productosSeleccionados/G01LAj6Wof3Au9TStei1""}]",49
