pagos,products,total
"[{""__ref__"":""pagos/wGswoP7EgrHzDsPDtiZk""}]","[{""__ref__"":""productosSeleccionados/0gvpNOXoDYjdp88b4VkH""},{""__ref__"":""productosSeleccionados/qbXtjDx9Ru6pEUTAwpwk""},{""__ref__"":""productosSeleccionados/HqyTbIwgDB57nIthox05""}]",2980
"[{""__ref__"":""pagos/WXJX259G35DK5JlKpRNg""}]","[{""__ref__"":""productosSeleccionados/0gYOS8WCASvc8eywJ5Td""},{""__ref__"":""productosSeleccionados/pqHcMF1rcJSJKUuf9qrt""}]",2326
"[{""__ref__"":""pagos/3NPqRVWi5WT3lV8gu0bL""}]","[{""__ref__"":""productosSeleccionados/0gz1ZiCQiUd22bxI6VDO""},{""__ref__"":""productosSeleccionados/O6OWbEBRf7ejwaqijWRB""}]",3230
"[{""__ref__"":""pagos/j8JY6WA3o4kG7vRx1uyV""},{""__ref__"":""pagos/EMC7JPe5u4vctoSIrWWh""}]","[{""__ref__"":""productosSeleccionados/0H61fgOyo92C6bIT0tQ9""},{""__ref__"":""productosSeleccionados/gDMV2W4Q2ytdznIQJP8l""},{""__ref__"":""productosSeleccionados/49HZbS2ny2cfFxQ9akdm""}]",7990
"[{""__ref__"":""pagos/3x0eUFO1CfzHdclH72wo""}]","[{""__ref__"":""productosSeleccionados/0HiqIZsF4VZGo6FTCCv2""},{""__ref__"":""productosSeleccionados/ifFxz3O0yVhc9lEvuIlu""}]",740
"[{""__ref__"":""pagos/LdjOiBHkEWK05LTa9IKr""}]","[{""__ref__"":""productosSeleccionados/0HjZhzkaIlaohMRTHho2""}]",5637.6
"[{""__ref__"":""pagos/CfdYjAoUcN0aPMINZ9kn""}]","[{""__ref__"":""productosSeleccionados/0Hq4lVpsS8i0dqa69Wp9""}]",2280
"[{""__ref__"":""pagos/hxxdIupEk6z4SSA7wnrg""}]","[{""__ref__"":""productosSeleccionados/0HsbtXp2AEt3paCsdwhZ""},{""__ref__"":""productosSeleccionados/XOBCj9gtdHKDNC1wk2yJ""}]",700
"[{""__ref__"":""pagos/h0Ca6orhQySpLXuY8mkX""}]","[{""__ref__"":""productosSeleccionados/0hUK2qggnHjrV69AkdIu""}]",21700
"[{""__ref__"":""pagos/txI30ZhxZi41hymTlyJm""}]","[{""__ref__"":""productosSeleccionados/0ij9AeZNzIts0SSh9X7v""}]",4943.12
"[{""__ref__"":""pagos/fYrPEtYlWnA6wXFFnfUY""}]","[{""__ref__"":""productosSeleccionados/0J0UG9IyYDO0fIIn1snj""}]",11500
"[{""__ref__"":""pagos/Pyp5wLhGGdvqUG5bNVYy""}]","[{""__ref__"":""productosSeleccionados/0JCSWH6RHs4kIikNFTUH""}]",3097
"[{""__ref__"":""pagos/qwcr9iueobn60RD0ocut""}]","[{""__ref__"":""productosSeleccionados/0JDiUnNtdsUKNkTRowIV""},{""__ref__"":""productosSeleccionados/vzOKeba2hlAdSbeczpp9""}]",4401.9
"[{""__ref__"":""pagos/yqEJQT2rkvrlK1fYV2No""}]","[{""__ref__"":""productosSeleccionados/0jEEJGJy0fRgjYFV7w6o""},{""__ref__"":""productosSeleccionados/pYcDxrtzU5DHlx1CMYXM""}]",3021
"[{""__ref__"":""pagos/eDRJ3MGgQAYa2PTl0GOo""}]","[{""__ref__"":""productosSeleccionados/0jpyjfz3m1LQpYaCi0Vg""}]",400
"[{""__ref__"":""pagos/1MzhKiHVlytKqgH2dOAb""}]","[{""__ref__"":""productosSeleccionados/0JQCMol0ZXkQK2kK2Fs2""},{""__ref__"":""productosSeleccionados/IOrxadTFL0Mk8a1qjdS0""},{""__ref__"":""productosSeleccionados/sMLKiM7F2aCoazhHWaub""},{""__ref__"":""productosSeleccionados/wbBE3s56Nt6JMRvsZEYo""}]",18438.72
"[{""__ref__"":""pagos/jEXL2SE8aJREr1PkHL7M""}]","[{""__ref__"":""productosSeleccionados/0jVnGwBCPLix3CGEXRXz""}]",1600
"[{""__ref__"":""pagos/biFVCcigVXzH0JerBxlO""}]","[{""__ref__"":""productosSeleccionados/0kp8y3Nn37fWJ5jzB0aN""},{""__ref__"":""productosSeleccionados/dJcoT8AckV9S49looo0T""},{""__ref__"":""productosSeleccionados/5AZezsemvgrisEgHmVr5""}]",13040
"[{""__ref__"":""pagos/xMdm2z7nuZDfX04MZ9B4""}]","[{""__ref__"":""productosSeleccionados/0KQElwGQQ1E2Fx6qUTdZ""},{""__ref__"":""productosSeleccionados/t4zJQLnP2rdln5XGTUXE""},{""__ref__"":""productosSeleccionados/U5QPGNJrw7EYlvVggYZ9""}]",53100
"[{""__ref__"":""pagos/GzhYv3tLiIDFSUTVkhcG""}]","[{""__ref__"":""productosSeleccionados/0Kt8JD5y0kpCrd7MLK72""}]",1610
"[{""__ref__"":""pagos/WKRpzq9dPxp36YGl4crP""},{""__ref__"":""pagos/SFXhtHCEkYC7mUQjGAOM""}]","[{""__ref__"":""productosSeleccionados/0kUnN6bqq3dBPGbojVBb""}]",4400
"[{""__ref__"":""pagos/xYQerWYvU7dgHCgrthNl""}]","[{""__ref__"":""productosSeleccionados/0LBmwGI7n6gHFArl5Fc0""}]",1800
"[{""__ref__"":""pagos/h6p2NjGfFg9Ndtr9E5GF""}]","[{""__ref__"":""productosSeleccionados/0LBSNTV94lMRQQTud0hP""}]",1760
"[{""__ref__"":""pagos/CzOZFRbV6GlpiCRPduRp""}]","[{""__ref__"":""productosSeleccionados/0LCtV2Vi47hSS4Ecbe29""},{""__ref__"":""productosSeleccionados/nDx3Qzj2icDVToHY2eq4""},{""__ref__"":""productosSeleccionados/YjXkBeOkilQIw8xS1mqm""}]",1430
"[{""__ref__"":""pagos/BtqJc7Y3ASTuApt0rNmG""}]","[{""__ref__"":""productosSeleccionados/0lfYvQVrcJQC6OR32j9c""},{""__ref__"":""productosSeleccionados/gfgUdkjOS2cqbJaXvyvT""}]",9129.5
"[{""__ref__"":""pagos/0d9EQv8AfkZMZtwG5zA5""}]","[{""__ref__"":""productosSeleccionados/0lNUtmifAORqjO8dq0sA""}]",7414.4
"[{""__ref__"":""pagos/mxT79eDcFtlpJYWmbk9O""}]","[{""__ref__"":""productosSeleccionados/0LpAGc1yZ75lQSw9pEmp""}]",200
"[{""__ref__"":""pagos/Cg5dV38RYXPkD7ngvtY2""}]","[{""__ref__"":""productosSeleccionados/0LwFMi4ErHyCUCDunCNX""}]",2508
"[{""__ref__"":""pagos/BtGNCIoMSRzipWGj5SGW""}]","[{""__ref__"":""productosSeleccionados/0M3jMAaGW8ZKNFXtpGjE""},{""__ref__"":""productosSeleccionados/jtPprn45B4u1LDHxlwKd""},{""__ref__"":""productosSeleccionados/lKYpYuZuRuaoMuCex615""}]",10604.7
"[{""__ref__"":""pagos/NRdauvVgA62pUdq3HQOd""},{""__ref__"":""pagos/RyTFyu09B9Bp5dp6G2Os""}]","[{""__ref__"":""productosSeleccionados/0MdgNRDHslBoORSGoD5V""},{""__ref__"":""productosSeleccionados/FPuNTgBj8LgdypxMPyOZ""}]",21650
"[{""__ref__"":""pagos/y3r1QQ0ESGZdklEaxZGY""}]","[{""__ref__"":""productosSeleccionados/0nPFsWGIrEbqW19ecQ5R""}]",11874.6
"[{""__ref__"":""pagos/8IQv5xf2mYsTE6zfFOOE""}]","[{""__ref__"":""productosSeleccionados/0npUOfD7MLaDXoxLvxKA""},{""__ref__"":""productosSeleccionados/p1EUOwhBK7YhMoWKHj5c""}]",4634.1
"[{""__ref__"":""pagos/u8zIMWmRFuog8QS0TNhG""}]","[{""__ref__"":""productosSeleccionados/0NU8Pdyaq5We7Hg4DUa4""}]",9500
"[{""__ref__"":""pagos/aGQk9qWFtwlOITOVVu1e""},{""__ref__"":""pagos/23a2yocUTurQ4Q74UdiH""}]","[{""__ref__"":""productosSeleccionados/0O4KN0TxZmSi5v5rCw83""}]",11875
"[{""__ref__"":""pagos/rUvajOxnIJTm4zmQe5Tq""}]","[{""__ref__"":""productosSeleccionados/0OgjHNW96cK5Ds28e3jk""},{""__ref__"":""productosSeleccionados/Hfaz6v23zOnuzIq79jOh""},{""__ref__"":""productosSeleccionados/BwBGEEJjE8SAsN9cQMWy""}]",13181
"[{""__ref__"":""pagos/EFbOcVTeXHLTmzdczjA0""}]","[{""__ref__"":""productosSeleccionados/0OgNtpMnsF72MDWX1VFT""}]",1880
"[{""__ref__"":""pagos/VlXgW5jd8YYBGoZO1uIw""}]","[{""__ref__"":""productosSeleccionados/0OjBkUbN0Sy4FlwzGuqM""}]",3597.65
"[{""__ref__"":""pagos/3taAGub54gZWdWFDU3ZU""}]","[{""__ref__"":""productosSeleccionados/0OloH7poYjywuC0fe5AU""},{""__ref__"":""productosSeleccionados/en7aw2AqG8fNhczimLRq""}]",10634.6
"[{""__ref__"":""pagos/kOmfskyBF0l8XP2UmgBn""}]","[{""__ref__"":""productosSeleccionados/0opMmyawZABwd2NkdyIb""}]",2728
"[{""__ref__"":""pagos/IebOVHIShROcA6Nzqdrb""}]","[{""__ref__"":""productosSeleccionados/0OpYJKVzRw3zbUs1QuM8""},{""__ref__"":""productosSeleccionados/WTiLYol08nCXoh4VBmxl""},{""__ref__"":""productosSeleccionados/51rCuuymOP7U7Z8lEPsP""}]",1620
"[{""__ref__"":""pagos/DtBKyDpkod07VvVfwlxz""}]","[{""__ref__"":""productosSeleccionados/0oVyTfk2sMQPCIfL0NUF""},{""__ref__"":""productosSeleccionados/JVyTtSP4Xvptzk1sLa31""}]",10800
"[{""__ref__"":""pagos/qGuIChtAYI2sckvHbFRy""}]","[{""__ref__"":""productosSeleccionados/0P8Zvzisxu9gLK7202WS""}]",50
