id_products,category,subtotal
r4T95U8W7vIah7mMDrZu,3666663050331,70
rXgqR4G36maFk6iqHDTP,3666663050331,70
uXuEkkoawJKDRRnUzOXj,3666663050331,70
yXZLaCu6OkoQjChzP7aN,3666663050331,70
ybRaYPrFlPkR2sasPB0i,3666663050331,70
9LElX9r7EMjass5yBUTN,3666663050331,140
BOffGJD1ECOIFpaXFLN1,3666663050331,140
F2xaNk8ibgulS3fJro1p,3666663050331,140
Fc1XK3Zy7e7DBRUlpLxJ,3666663050331,140
InwgbPsGCzhRKwLfPrVA,3666663050331,140
NTvQT6Jah1eDs7suLekH,3666663050331,140
TfNFXzNsTk13Yr4hBk1o,3666663050331,140
euKKMqeh43z79jEAqYGu,3666663050331,140
kXVNYr9ZkYoubaWIxbmf,3666663050331,140
mZtIiKB6cTugM7eSuc4I,3666663050331,140
rYWFJLZ9hwJDPOJlm4I9,3666663050331,140
sHwDSjbyyvrp5cStETRw,3666663050331,140
G79wzbGZxrevtkKlVUwN,3666663050331,210
J9k3ORrJGePjN18dBG7U,3666663050331,210
ThieAeQFDPr0JovZbRcF,3666663050331,210
o9nrgsFuSDLoA4Lo4zVZ,3666663050331,210
yoM5mnQJGVMJhb96GVws,3666663050331,210
6dlxweQ0NxyNUhQYkJAg,3666663050331,420
OU6TrLI1gFLC8jsO3k2G,3666663050331,3500
55UYzXnKmUKT7515XCvQ,3666663060040,1100
6q6cUiFkzW8mdLGDuN0Q,3666663060040,1100
B0AUIWbBjl0UypDnssad,3666663060040,1100
EvS37S0kl87IvQ8Myq1D,3666663060040,1100
YcNAspBg6u8EjnlfxTLP,3666663060040,1100
pvOI3gtWWDruF3LZ0o0Z,3666663060040,1100
rE5JHboFW4FYRZHTo0Rp,3666663060040,1100
wqa0qEYIksw5yaKSc0Ss,3666663060040,1100
zK0vkPyrL3RZMullGNjS,3666663060040,1100
1ikszy6dy2mOHqX5VsIT,4001178076371,1200
7njia17kCZyFhZdPmBdk,4001178076371,1200
FRw6yVIXBjOcIxq0vSYX,4001178076371,1200
RCADuM8dr7pupAUi4ZFB,4001178076371,1200
SM4SscAtEPtU4tUbjz2S,4001178076371,1200
Zy2xGBnSMBvQgjDZ1L45,4001178076371,1200
e4yulQtLsE00KA68qVjV,4001178076371,1200
kKJgHEPX1m4Zmuv62kEr,4001178076371,1200
mJBWpYYdj3f2LufID5Cf,4001178076371,1200
AF7189tFsRngwDizCenm,4012700817891,2100
HGQ9l0YvD2b1YxxwOjAB,4012700817891,2100
KYfpTwiZoSWsW9ZUPBi0,4012700817891,2100
MY2i61CE7ASI1FPjzK7P,4012700817891,2100
NLfJg7eT4RzFlD905OGg,4012700817891,2100
nR288WxTgYRlJHwOO4bR,4012700817891,2100
uqdFoqbtK6hq9Y8r4J8J,4012700817891,2100
5PGCXsgrwQ5VvHQFk7iH,4666669001114,975
64AW7yemmc0RdTUHTxiA,4666669001114,975
FoyXHIGLddQ0dBcg77xC,4666669001114,975
GZDpAcjpbB0tl5jBvOeE,4666669001114,975
Gslo79ZtF8mm4RnQCsBt,4666669001114,975
TRFv6eIrCWnXWYWOxuSN,4666669001114,975
o2JI2Q7gvEr1iM7Y1BlE,4666669001114,1950
57Bws21Aso9HsN9p6UWK,5401178324311,1800
BD6RitqLfjDoSAdcSUa2,5401178324311,1800
P3YZmajytqDYJBa1jXSS,5401178324311,1800
lAHFVDEHI6jhkIPGsimZ,5401178324311,1800
uev1iEZlWXvKKiJCm2s4,5401178324311,1800
vp58qil0uYYcUTDh5b8m,5401178324311,1800
cGTpnY1BFlm72gG3p6w0,5401178324311,3600
yOocJJDmLkgS4IbE3WFq,5401178324311,5400
YCNlSIKaGS7q9kah6D7U,5401178324311,21600
W88jGXW0KnGzfFZPcRpm,5401178324335,1800
ejUGsfEMg0iYZsCp1ZiM,5401178324335,1800
5YK0DgzbePgiupv2Nv2U,6683117820194,1180
D41zHlXaf3P41qngVKyE,6683117820194,1180
Pgibq6rGwxv439CfalQ1,6683117820194,1180
Q0UieJcfaoW4IRNzpC4x,6683117820194,1180
TvUVjlREwJ6f98q35l2e,6683117820194,1180
X63V5Wk7ezDrRP2UoDHm,6683117820194,1180
YRoIjU4ajdX1XUXW6UVN,6683117820194,1180
dcrlRN1pujrwSTv8QBg7,6683117820194,1180
fQLFK6KQHdXjKbudhQEW,6683117820194,1180
m3gHVEZdD5DgGDgqyoTa,6683117820194,1180
q1oaszoiYpxjG1zVk6HQ,6683117820194,1180
qG6zZGg5ebDgTIcB54E7,6683117820194,1180
rOWkKuyFC4oNzKCAz1dK,6683117820194,1180
yH1UjqNqMJarz2l6fROT,6683117820194,1180
z9nOhwNcQ1NnVDobxq93,6683117820194,1180
1MmCsaZgIOox5SJlZcBA,6683117820194,2360
IuavZlSOlAoJqYsFOb6V,6683117820194,2360
SobRtOnXu3StRfhcBDeL,6683117820194,2360
bZJYhzRt7MaWm4ljTGgX,6683117820194,2360
4QfbZIUSLnLntij7mSVG,6851151112241,1980
FmeZeopEbZzlm8v2BiLQ,6851151112241,1980
O5Ghw9QvAgwV8CxQHKtO,6851151112241,1980
PFolbxf3fMAS9C62kcRk,6851151112241,1980
YAMlMV4mhAuMG73i1pmZ,6851151112241,1980
ba0cOi8rsRQLbwvLMwCn,6851151112241,1980
d7pyWMOedaBxpV1iBQ5A,6851151112241,1980
lpzesqaQs5oBtUb7fv5A,6851151112241,1980
sy3DZTs4pjKDq3oaQiTa,6851151112241,1980
EvHf6CPNDF4Y0DQ5Zpax,6912052040306,240
PvSOlwVWYnGOAWaZhvYa,6912052040306,240
VBqVrQfgn0N7Sbb321bx,6912052040306,240
WRMwU23vxS30NW4fUQrN,6913199712408,1091.06
04PXJfPWrKvQY5iXuwwb,6920583878572,9140
JvgZHBQxkBraxvejOZrv,6920583878572,9140
LOBDl93sh3pxvGK9P97Y,6920583878572,9140
QcXbuA3ky2hZlj2Mw2Cf,6920583878572,9140
brOMjfRM0GkOGkdyz8ns,6920583878572,9140
xc6y6BBRyqQZWArCv8ra,6920583878572,9140
TErC0urY4FxuHIFa889R,6924485410823,1500
qPfvIFXWZeOyJlP8jBzu,6924485410823,1500
qZgJO6x1VXzju0hRbTWi,6924485410823,1500
46d65mW7UugL7fJYI2FE,6926341897618,4920
m8IHWqLdXrMF1oIVPR7v,6926341897618,4920
zWC74hkZt3Vf1CgumqV0,6926341897618,4920
XAloOIX2AtWtbQTAI4l2,6926341897618,9840
1uegWzuJB6Vhsnw9bzd6,6927725670230,1330
VDO1xx4l90qhzDlaDWzH,6927725670230,1330
aLR6IWin4lfcbNZR09t0,6927725670230,1330
kZfEyUD5AQdhY5xRqzfc,6927725670230,1330
yiDYEOMVtYd82h915pln,6927725670230,1330
LL2J5tSGPlVrY2GfpLOe,6941288708843,1200
XjincP3yTSRTsh2BwOc3,6941288708843,1200
u8OvWD51EcOimSqTVydh,6941288708843,1200
uVi9lJqMczfGUfZZPPLs,6941288708843,1200
40DgpqkrEMeM5rmeSXCV,6952668705435,1420
BUTDFlIuXMFYZGzlRaAd,6952668705435,1420
I2g1bjMyOyixnCHbeDXx,6952668705435,1420
IvTysRtUa5u1SFuygihA,6952668705435,1420
QSuPOIuXAZu58DamEBtn,6952668705435,1420
R6MxyStBQEH9l36OuNGO,6952668705435,1420
ajDJGO2GkuNqnmz6Dhgx,6952668705435,1420
fs2pIo5HWYf4ohAVli6J,6952668705435,1420
oRI6njMNlUs4NJ1tlduG,6952668705435,1420
qGdPby8mqUwzrPS6muyx,6952668705435,1420
vVophXJrTDFF87xEA5cf,6952668705435,1420
zxjtAccvr9TcuO5ERPEN,6952668705435,1420
nfYWpgN2iYYTT7CrZaVr,7703064001381,2270
0xHCnAG9ILUOfCWG8OEM,7703064001381,7400
3giiBH6nOZuBRoa4ZS5b,7703064001381,7400
iBJhaakLRO9ETV0zDv2W,7703064001381,7400
81PFwUGgmCbpjoqcuRcN,7718106081009,2200
BSgu9O3sJ85FXbfnnZSv,7718106081009,2200
FI26WAfKRkaupG6uFVPS,7718106081009,2200
H3PS7DXp3p12HOdj7lwI,7718106081009,2200
LjnaCM1961nbfGoQ0xQD,7718106081009,2200
Y7MlpV2sXo6zHKavOs7E,7718106081009,2200
rPUBmN91yqLJ7AI5jBYC,7718106081009,2200
vRnHWkz3ISbmWLpX5254,7718106081009,2200
yerJwy8aKi1ITJIpKM1n,7718106081009,2200
3lf5euPSUU9ZxnWEpZwb,7718106082501,4600
5lHNv3Cz28knU0Kfby10,7718106082501,4600
8ltekyV2trSGFRVwgOUH,7718106082501,4600
I2Svu02VFYkCrSD04rkP,7718106082501,4600
JSWkMzjdzf8fKmShyn69,7718106082501,4600
LPanqO729YElXJZWvtSI,7718106082501,4600
YvpVcYqYRlGVCSuO8guj,7718106082501,4600
yeWVa0r2RqjTAZ5meBd3,7718106082501,4600
jbUqIk9YAs5sIlJkxcAP,7718106082501,9200
eanpCDhUhBhhlKkyLajM,7718106082501,18400
6dtjaazcxfOc6kC2vqBd,7790201379700,3640
1H3nQ9aAxRRhAlvdHg1G,7790400018585,1660
2y2v5hbSErppg2vwfnX2,7790400018585,1660
3rEpCJoIuT2sYlzx3S1u,7790400018585,1660
9qhydYZTxKAFItb8XOhW,7790400018585,1660
9xPfMy5DSS4nGeyCKx2c,7790400018585,1660
AQKkPooBSHigakBtdQxv,7790400018585,1660
AcTaZBvBOxeQBTgCMiIi,7790400018585,1660
D6TtdQEf8dMhkA68m7zW,7790400018585,1660
D9MyPQYJut4Osd1sHgIz,7790400018585,1660
DpFDCvdzDjd5YxXg2XMw,7790400018585,1660
E41dmtqXlKozryv4zu7n,7790400018585,1660
EVgb6io106s2zs4r429T,7790400018585,1660
EaPmywrv4uehbeaCHqgA,7790400018585,1660
EsOl1arTXIXHw45EQFgx,7790400018585,1660
FktfUsaYu5cbvpY08Sxi,7790400018585,1660
GkrN5nHhttgG78sUGj8Y,7790400018585,1660
H03TKbDHoL325uKyLgCe,7790400018585,1660
IceP4tb4FIH2dPBDEs4p,7790400018585,1660
K6qZaPzfaxH9n40d0Lxm,7790400018585,1660
MQdpYzsFTKCp2pWstYUA,7790400018585,1660
McsykMJsZH972hhIXwX8,7790400018585,1660
N80EKathypzxaFnYlO4T,7790400018585,1660
PNtNzcvNxSB495EclSNp,7790400018585,1660
QhKItAH8SiQxR8AqpJda,7790400018585,1660
T3AvrDwwoHUr3M2nGIaZ,7790400018585,1660
UwVGWqcGRVQHLiMNhyNa,7790400018585,1660
VPNt7yAA8ZJ4E7DYW0iE,7790400018585,1660
Vp2kehF8HbPq27mRBDuE,7790400018585,1660
b16zLxsyDgwmfLOiAj5y,7790400018585,1660
cw19ILd6WxwRGZ437ZSM,7790400018585,1660
d5od8upuXGgjfIwCkruF,7790400018585,1660
dFIlZ3SjvoCxG4zeMtyz,7790400018585,1660
dXTS0SRQ4iXoKOL10cZC,7790400018585,1660
eAuZQkJS2GKgc97XdvQd,7790400018585,1660
gC2NZM0tsRtlz3mmoN57,7790400018585,1660
ghizd6plSaPF2RxodxWX,7790400018585,1660
hHgVvqpSW7MvLHKOA2Y0,7790400018585,1660
jonTQPHgDdvrTI4gMBGt,7790400018585,1660
lo5AKy3hiV77DsWrmExV,7790400018585,1660
mlhFew678BTBNsX6ywux,7790400018585,1660
pp4jPcCeW2j2hghuqOBy,7790400018585,1660
q4RxKi9osyTBlg5umPzb,7790400018585,1660
qWLks6MNAEdL4WIzVGpn,7790400018585,1660
qhGLgTBVXek6vPbo3x7y,7790400018585,1660
rkZ5Vx0olhINtU2vHLEP,7790400018585,1660
sNFImMWxVDZSa9EONzt1,7790400018585,1660
t7ZF2jUWnCIkhACxG3SL,7790400018585,1660
uRfE399aqek2GD4JFUi0,7790400018585,1660
vktHanAf2fX1Hr2VQUBM,7790400018585,1660
wjLeNEqeLmiDTPU1pEBu,7790400018585,1660
xKUEr0Xaw0YBAA8ytTCb,7790400018585,1660
zPdArTtyXADtdrdIy499,7790400018585,1660
2vzn1sRSrgqUr24tXCjN,7790400018585,3320
QXSzEbv8nFEdQb3STRE4,7790400018585,3320
poycAMOCv29DeWkjNotn,7790400018585,3320
S7bkOAhS4fL0jNwnNquz,7790400018585,29880
U0owqHAxpaMnKv6jAiqo,7790400018585,39840
wQpORavWDoCBwNXYPVae,7790400018585,39840
1dsUgEEhvehi1RWf0Kwy,7790400018608,5080
3UimuFpzULewKrZVnEwK,7790400018608,5080
7Ogvu5yzTdazB3hqDAxJ,7790400018608,5080
CrEd1nqW9OcQWNLi3p6s,7790400018608,5080
MjAHRLQMwlxmq8tmYFiI,7790400018608,5080
RVW30laCNv5lKKzVdhhR,7790400018608,5080
WTzI5bcC7ihFrK8t9rhq,7790400018608,5080
gJ1bGUiNPlDE2ZX5kUuO,7790400018608,5080
ji39NRxNS1VLtJ4OIztB,7790400018608,5080
jlAJbCSMy130ujW52rWf,7790400018608,5080
ni5ub1jZASaWktfvLr4s,7790400018608,5080
npBlcJDAsRMQ7JEH1GmQ,7790400018608,5080
plMS1mpqbzoHZCgyjd4a,7790400018608,5080
8PA8KAdcQslO2aahiL2K,7790400018608,30480
muxDFMd6XgB8lHzEyCke,7790400018608,30480
4t2vkXPIZmEKcrrHSfR3,7790400026658,3660
5OwuWJKzCWAAnYjAbEhv,7790400026658,3660
B1qBG11VYSzehBGT74vn,7790400026658,3660
VxTVmgkIIMsLSRY3AvMN,7790400026658,3660
YeHGbmNEmx24uwdzyiLF,7790400026658,3660
Z8PdrAeMrfXfwMA0KiiD,7790400026658,3660
a7g9qvkn0WncqIB1FLiz,7790400026658,3660
bw8RvXPxFTIyJSNMmf1d,7790400026658,3660
eBNXQRb8aNxKeoI2b8hN,7790400026658,3660
jrK1BqByKdvu6YgmmsZx,7790400026658,3660
lKewibEcgFgSARuAhWB8,7790400026658,3660
rijBBdxQGuINR9TkUhwc,7790400026658,3660
uzkqw8b8Lv7RsAazz2fk,7790400026658,3660
0DDydQwCszQ4L8H0i0SC,7790400030457,4330
1IporPnOyE0clX2fZjOA,7790400030457,4330
2Ls7PFaVIgLtugLPnE0T,7790400030457,4330
9RiYFBFzg0Yp3jbIKC46,7790400030457,4330
CtqU293EA7bM2qwWRFaw,7790400030457,4330
IRtlAO35A4cABZMWdzl2,7790400030457,4330
KRPRrQw1XMOG3t182Dlh,7790400030457,4330
QGR46EsTWIhKCWYbU6KE,7790400030457,4330
VGOW1TQYXmrA2Ot3TacI,7790400030457,4330
Vx3DcWdSvlDSoMNKLCbG,7790400030457,4330
YuGQ2OA7PuDhw16McfkY,7790400030457,4330
